video,cond,texts_n,desc_mean_len,forbidden_rate,two_line_format_rate,hedging_per100w,frame_text_conflict_rate,fault_alignment_rate,reproducibility,length_variance,behavior_align_score_desc,ilc_coverage,bd_unique,odtr_offdomain
/app/data/raw/videos/validation_reencoded/bb_1_220414_vehicle_209_22339.mp4,A1_g0.2,3,11.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.09817538126361657,4.666666666666668,0.564531147480011,0.0,0.0,0.2292768959435626
/app/data/raw/videos/validation_reencoded/bb_1_220407_vehicle_47_037.mp4,A1_g0.2,3,10.0,0.0,1.0,0.0,0.0,1.0,0.4497354497354497,0.6666666666666666,0.5344101190567017,0.0,0.0,0.24647284201036737
/app/data/raw/videos/validation_reencoded/bb_1_220313_vehicle_14_011.mp4,A1_g0.2,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15079365079365079,0.8888888888888888,0.5837948520978292,0.0,0.0,0.4029595728451564
/app/data/raw/videos/validation_reencoded/bb_1_220219_vehicle_210_21470.mp4,A1_g0.2,3,11.0,0.0,1.0,0.0,0.0,1.0,0.4444444444444444,0.0,0.4998803337415059,0.0,0.0,0.3981856350277403
/app/data/raw/videos/validation_reencoded/bb_1_220218_vehicle_190_028.mp4,A1_g0.2,3,9.0,0.0,1.0,0.0,0.0,1.0,0.1955128205128205,0.6666666666666666,0.5752973854541779,0.0,0.0,0.22268009768009767
/app/data/raw/videos/validation_reencoded/bb_1_220105_vehicle_116_201.mp4,A1_g0.2,3,9.666666666666666,0.0,1.0,0.0,0.0,1.0,0.04074074074074074,0.8888888888888888,0.5536063810189565,0.0,0.0,0.3282569241694942
/app/data/raw/videos/validation_reencoded/bb_1_211231_vehicle_118_119.mp4,A1_g0.2,3,14.333333333333334,0.0,1.0,0.0,0.0,1.0,0.2233044733044733,11.555555555555555,0.4735012749830882,0.0,0.0,0.34878573749187786
/app/data/raw/videos/validation_reencoded/bb_1_211214_vehicle_089_021.mp4,A1_g0.2,3,10.666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0,0.15079365079365079,0.2222222222222222,0.5138540168603262,0.0,0.0,0.39950838635049163
/app/data/raw/videos/validation_reencoded/bb_1_211213_vehicle_114_167.mp4,A1_g0.2,3,10.0,0.0,1.0,0.0,0.0,1.0,0.1345899470899471,0.6666666666666666,0.5589936375617981,0.0,0.0,0.3954834751936201
/app/data/raw/videos/validation_reencoded/bb_1_211129_vehicle_235_21934.mp4,A1_g0.2,3,10.666666666666666,0.0,1.0,0.0,0.0,1.0,0.2207282913165266,1.5555555555555554,0.4925226867198944,0.0,0.0,0.3549757584845304
/app/data/raw/videos/validation_reencoded/bb_1_211127_vehicle_252_24503.mp4,A1_g0.2,3,12.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15887445887445886,11.555555555555555,0.5632935563723246,0.0,0.0,0.298974358974359
